id,city,state
01,Baltimore City,Maryland
02,Baltimore County,Maryland
03,Bexar County,Texas
04,Cook County,Illinois
05,Dade County,Florida
06,Dallas County,Texas
07,Denver,Colorado
08,Erie County,New York
09,Franklin County,Ohio
10,Harris County,Texas
11,Hennepin County,Minnesota
12,Honolulu county,Hawaii
13,Jefferson County,Kentucky
14,King County,Washington
15,Kings County,New York
16,Los Angeles County,California
17,Maricopa County,Arizona
18,Milwaukee County,Wisconsin
19,Monroe County,New York
20,Nassau County,New York
21,New York County,New York
22,Oklahoma County,Oklahoma
23,Orange County,California
24,Philadelphia,Pennsylvania
25,San Bernardino County,California
26,San Diego County,California
27,San Francisco,California
28,Santa Clara County,California
29,St. Louis City,Missouri
30,St. Louis County,Missouri
31,Suffolk County,New York
32,Ventura County,California
